interactingUser	interactedUser	timestamp
29011723	15053949	1271123968000
29011723	14550962	1272418431000
14524891	7996082	1274968907000
14524891	7996082	1275299325000
14524891	7996082	1275554620000
14524891	7996082	1275842863000
14524891	7996522	1276173973000
29011723	15053949	1277161045000
29011723	15053949	1277496627000
35299329	14550962	1280698130000
18265605	18979745	1295009220000
243284052	243284052	1296244242000
243284052	243284052	1296245284000
243284052	243284052	1296248912000
243284052	243284052	1296252175000
243284052	243284052	1296259866000
243284052	243284052	1296264286000
243284052	243284052	1296335438000
267359753	89148725	1300391825000
138031530	138023605	1300627137000
271538339	18927441	1301008058000
243284052	243284052	1301163621000
246538620	14159148	1301754170000
246538620	14159148	1301781623000
246538620	14159148	1301885876000
246538620	14159148	1301927623000
246538620	14159148	1302220324000
83172875	83172875	1302347044000
83172875	17272862	1302388640000
83172875	10228272	1302472721000
246538620	14159148	1302790393000
246538620	14159148	1304539272000
246538620	14159148	1304946074000
246538620	14159148	1304967003000
75130451	78324623	1304978776000
205636540	19963431	1305381204000
246538620	14159148	1305811537000
246538620	14159148	1305835420000
75130451	89905959	1306193597000
246538620	14159148	1306347289000
153829230	105451020	1307039324000
153829230	105451020	1307039473000
83172875	115516167	1307450629000
83172875	115516167	1307955067000
83172875	10228272	1308005399000
29011723	14550962	1308503362000
280969645	319158538	1310145743000
319158538	280969645	1310145860000
319158538	248703641	1310147215000
319158538	280969645	1310147215000
319158538	319158538	1310147215000
332161334	497321269	1310850657000
332161334	497321269	1311083890000
29011723	82668140	1311691279000
86835248	5162861	1311868001000
86835248	5162861	1311868069000
83172875	115516167	1312544769000
265531223	14436030	1314017678000
358382482	89010853	1314030343000
265531223	14436030	1315672393000
293796915	13426312	1315792847000
86835248	5162861	1315888602000
265531223	14436030	1316087983000
265531223	14436030	1316169919000
265531223	14436030	1317131917000
326189373	326189373	1317391461000
181561712	84279963	1319054184000
373274823	105451020	1319187649000
84471584	142295586	1319212623000
86835248	5162861	1319255643000
293796915	220299921	1320704455000
407264045	328634847	1320956799000
407264045	328634847	1320999235000
84471584	142295586	1321017339000
407264045	328634847	1321096931000
407264045	328634847	1321182217000
407264045	328634847	1321256752000
407264045	361172750	1321278482000
263627371	185543792	1321380315000
263627371	185543792	1321386235000
407264045	328634847	1321437167000
263627371	17962098	1321805598000
398306220	122556667	1321813409000
263627371	199354750	1321830650000
265531223	14436030	1321831718000
123538464	61003804	1322017161000
123538464	61003804	1322256115000
123538464	61003804	1322256375000
123538464	61003804	1323106501000
265531223	14436030	1324499575000
123538464	61003804	1325729780000
407264045	328634847	1325865335000
83172875	10228272	1327436326000
265531223	14436030	1327494306000
84471584	142295586	1327504183000
471858403	27038703	1327659467000
471858403	27038703	1327659736000
390350210	390350210	1327783877000
84471584	142295586	1328198440000
83172875	10228272	1328434906000
75130451	78324623	1328582062000
75130451	78324623	1328582230000
109303501	330904171	1328610094000
205636540	163559269	1328791455000
109303501	220299921	1328792747000
467306848	31090827	1328954046000
390350210	187688317	1329420892000
390350210	187688317	1329420915000
390350210	390350210	1329421362000
265531223	14436030	1329816306000
467306848	105451020	1329861758000
467306848	250620677	1329862418000
407264045	328634847	1329914320000
109303501	26729931	1330016118000
109303501	17185251	1330602751000
471858403	182979905	1330711024000
265531223	14436030	1332340587000
442198849	35568047	1332793151000
222531809	191949347	1332854711000
442198849	106470169	1332856610000
84279963	158314798	1332862383000
265531223	14436030	1333020818000
442198849	89907746	1333815566000
442198849	29684693	1333827712000
373274823	213264156	1334047117000
109303501	26729931	1334055491000
109303501	26729931	1334138116000
442198849	16350933	1334423459000
266763016	7996082	1335121850000
242101122	10228272	1335788825000
569808026	171080701	1336035438000
244641854	191949347	1336319315000
265531223	14436030	1336461685000
265531223	14436030	1336987470000
471858403	398839660	1337109703000
467306848	250620677	1337260008000
78670621	247445087	1337276905000
78670621	247445087	1337292465000
109303501	343447873	1337336498000
78670621	247445087	1337341144000
83172875	10228272	1337537618000
556913417	74453123	1337693067000
78670621	247445087	1337757714000
467306848	15648827	1337780300000
265531223	14436030	1337848687000
109303501	14306573	1337929661000
109303501	7996082	1338373489000
263627371	245093469	1338472130000
390350210	390350210	1338802511000
213314182	10228272	1338923258000
213314182	10228272	1338923315000
213314182	79939248	1338984506000
66661683	10228272	1339195985000
84471584	58386355	1339205808000
390350210	187688317	1339280798000
332161334	497321269	1339520890000
497321269	497321269	1339703184000
332161334	497321269	1339703995000
66661683	242414858	1340115249000
471858403	182979905	1340199483000
471858403	182979905	1340199598000
66661683	775238	1340208492000
600384834	388934098	1340267555000
205636540	106773779	1340276385000
205636540	18238467	1340292578000
388934098	147332606	1340385155000
600384834	388934098	1340385234000
600384834	388934098	1340707270000
256655729	37883400	1340821681000
256655729	94287024	1340821681000
256655729	14436317	1340822272000
467306848	224223563	1340834194000
600384834	61879392	1340912031000
600384834	388934098	1340964243000
600384834	61879392	1341047527000
78670621	247445087	1341164004000
