Total times: 1144704
Item	Time empty	Estimated value	Time
73854012	394894	0.750000000116418	1056
73044122	1133012	0.75	975
46822571	1135780	0.75	996
17270322	862025	0.6250000000000568	1056
79535742	923646	0.5626220703134663	1056
42415611	811507	0.5625000000582097	1056
62652749	1143624	0.5625	998
17099088	1084458	0.53125	1056
87226779	597548	0.515655517578125	1056
83888799	951747	0.515625	1056
43865151	287940	0.50787353515625	1056
63920967	431022	0.5078125000000568	1056
36839571	1111210	0.5078125	1056
71152082	883536	0.5004882812500568	1056
78315219	790728	0.500122070319776	1056
8046663	989796	0.50006103515625	1056
11051209	478486	0.5000002989545466	1056
74042578	891013	0.5000001192092896	1056
66676859	641310	0.5000000298023224	1056
77699618	1143275	0.5000000149011612	712
77014514	561975	0.5000000075087883	1056
17165097	862274	0.5000000004656613	1056
71938672	1090512	0.5000000000582077	1055
70625832	438331	0.5000000000291038	1056
16878842	366703	0.500000000003638	1056
5832569	518144	0.500000000003638	1056
68220174	827104	0.500000000001819	1056
1400070	646582	0.5000000000004547	1056
70045109	763750	0.5000000000000144	1056
74066212	541718	0.5000000000000004	1056
76310214	318120	0.5	1056
83735798	716695	0.5	1056
14201087	787542	0.5	1056
10287363	824513	0.5	1056
68068261	836399	0.5	1056
3513394	866358	0.5	1056
47057261	972353	0.5	1056
36995311	988864	0.5	1056
9472834	1019058	0.5	1056
79297993	1090740	0.5	1056
75131988	1143993	0.5	805
66703496	1069159	0.2812576293945348	1056
64962419	489008	0.28125011921110854	1056
78446434	595727	0.28125	1056
80966354	775788	0.28125	1056
60797755	200781	0.2656860351635833	1056
14491576	211624	0.265625	1056
11643845	655023	0.25048828125113687	1056
90984519	351729	0.2502517718821764	1056
62742762	984318	0.2501220703125	1056
21838201	1084990	0.2500610356364632	1055
11847569	724041	0.2500305175782387	1056
61949274	836028	0.2500076293947586	1056
8206833	653443	0.25000381481368095	1056
8198424	420405	0.25000095926225185	1056
69562013	478413	0.2500009536743164	1056
16329637	992808	0.2500004768371582	1056
65292429	858521	0.25000011920928955	1056
22299021	932600	0.25000000186264515	1056
13685758	560190	0.25000000023283064	1056
67619943	524910	0.25000000001455214	1056
71418484	426722	0.250000000003638	1056
12280130	1144115	0.2500000000009095	678
70823508	564592	0.25000000000011724	1056
93868746	447452	0.25	1056
13148373	472700	0.25	1056
63264439	795761	0.25	1056
5074544	973743	0.25	1056
73933929	1065914	0.25	1056
75296739	1144470	0.25	970
75125497	662676	0.14063262939453125	1056
84039329	247086	0.1328125004656613	1056
71430746	712280	0.12695312501639933	1056
85205712	288187	0.12548852072382033	1056
76372266	779548	0.12548840045928955	1056
61107680	323370	0.1254882817156613	1056
83355578	907809	0.12506103515625	1056
74215323	602670	0.12500393390655518	1056
61805276	794387	0.12500095367431652	1056
61964403	1106758	0.1250009536743164	1054
81246014	339692	0.12500011932594646	1056
86483013	608467	0.12500010448275134	1056
80593378	1042853	0.1250000149011612	1056
52491881	965874	0.1250000004656613	1056
78695208	599592	0.12500000005820766	1056
69501553	989031	0.12500000002910383	1056
78278329	440604	0.1250000000147793	1056
77682184	199486	0.1250000000036381	1056
70083584	917061	0.12500000000363798	1056
5826100	1046015	0.12500000000096645	1056
78907413	370782	0.1250000000000071	1056
12633684	663351	0.1250000000000071	1056
65007713	472585	0.125	1056
70870518	623783	0.125	1056
90714907	693692	0.125	1056
63992344	973723	0.125	1056
89978661	1032760	0.125	1056
76118727	1144699	0.125	624
75066331	230361	0.09375762939455967	1056
4119245	483486	0.0781250149011612	1056
65483312	923039	0.07031250000181899	1056
6081186	947429	0.062744140625	1056
46219471	826967	0.06256103516443567	1056
16033869	343692	0.06251526068081592	1056
11331629	943381	0.06251526065193502	1056
71972153	1024346	0.06250190734863281	1056
74879737	553213	0.0625009573996067	1056
90546071	609114	0.06250095460563898	1056
15661190	640988	0.0625002384185791	1056
18167172	1141019	0.06250002980232239	1002
61582313	900309	0.0625000074505806	1056
5222185	642126	0.06250000048021323	1056
12220488	1144655	0.06250000047384685	627
15232718	1054253	0.06250000011641532	1056
78153059	844666	0.06250000000363809	1056
22549011	771432	0.06250000000022737	1056
65503200	1056854	0.06250000000011369	1056
1209016	307838	0.06250000000001443	1056
62264016	840559	0.06250000000000089	1056
9779570	781779	0.0625	1056
78426407	868295	0.0625	1056
53801451	948130	0.0625	1056
63983298	1028531	0.0625	1056
73331759	1071681	0.0625	1056
76401318	823942	0.04687500000011369	1056
77960617	165672	0.03907966613769909	1056
62329923	555395	0.03907823609188733	1056
42232481	682341	0.03320312500068212	1056
1869815	249647	0.032226801049546346	1056
89414147	520448	0.03222656622530452	1056
67751351	313247	0.03149417042754976	1056
67552090	477050	0.031494140625	1056
69292911	702869	0.031372077770384976	1056
15123380	1047619	0.03131103515625	1056
