iteration	precision	recall	hits	coverage
167	0.001481	0.001047	148	1.000000
168	0.001631	0.001153	163	1.000000
169	0.001291	0.000912	129	1.000000
170	0.001491	0.001054	149	1.000000
171	0.001561	0.001103	156	1.000000
172	0.001411	0.000997	141	1.000000
173	0.001481	0.001047	148	1.000000
174	0.001351	0.000955	135	1.000000
175	0.001711	0.001209	171	1.000000
176	0.001571	0.001110	157	1.000000
177	0.001291	0.000912	129	1.000000
178	0.001501	0.001061	150	1.000000
179	0.001401	0.000990	140	1.000000
180	0.001401	0.000990	140	1.000000
181	0.001371	0.000969	137	1.000000
182	0.001481	0.001047	148	1.000000
183	0.001441	0.001018	144	1.000000
184	0.001361	0.000962	136	1.000000
185	0.001681	0.001188	168	1.000000
186	0.001241	0.000877	124	1.000000
187	0.001561	0.001103	156	1.000000
188	0.001361	0.000962	136	1.000000
189	0.001421	0.001004	142	1.000000
190	0.001331	0.000941	133	1.000000
191	0.001461	0.001033	146	1.000000
192	0.001351	0.000955	135	1.000000
193	0.001381	0.000976	138	1.000000
194	0.001311	0.000927	131	1.000000
195	0.001341	0.000948	134	1.000000
196	0.001411	0.000997	141	1.000000
197	0.001441	0.001018	144	1.000000
198	0.001351	0.000955	135	1.000000
199	0.001601	0.001132	160	1.000000
200	0.001511	0.001068	151	1.000000
201	0.001531	0.001082	153	1.000000
202	0.001391	0.000983	139	1.000000
203	0.001551	0.001096	155	1.000000
204	0.001441	0.001018	144	1.000000
205	0.001451	0.001026	145	1.000000
206	0.001411	0.000997	141	1.000000
207	0.001371	0.000969	137	1.000000
208	0.001431	0.001011	143	1.000000
209	0.001511	0.001068	151	1.000000
210	0.001441	0.001018	144	1.000000
211	0.001491	0.001054	149	1.000000
212	0.001201	0.000849	120	1.000000
213	0.001491	0.001054	149	1.000000
214	0.001501	0.001061	150	1.000000
215	0.001391	0.000983	139	1.000000
216	0.001601	0.001132	160	1.000000
217	0.001351	0.000955	135	1.000000
218	0.001491	0.001054	149	1.000000
219	0.001401	0.000990	140	1.000000
