Total times: 1142537
Item	Time empty	Estimated value	Time
69992142	170233	0.8869670849213065	1054
15036397	360910	0.8844001188634968	1054
62343841	528479	0.8505817689111819	1054
65668966	689835	0.8415619490829971	1054
71379069	695879	0.8247393564474726	1054
71242791	877703	0.8113416813915179	1054
75286204	706683	0.8069987566001007	1054
9971564	760644	0.8058493202822626	1054
71430746	528050	0.8009130374281981	1054
92234118	927845	0.7500968462398377	1054
63590356	596370	0.745150952907595	1054
69292911	638634	0.7424016149444795	1054
9114730	890833	0.7278782132877613	1054
69124664	824662	0.7154160554982986	1054
89184603	795915	0.7117309682513719	1054
8247183	652976	0.7071755811054922	1054
65081458	1087121	0.6954674591449629	1053
12343704	825905	0.6841127940532811	1054
71578197	325583	0.6610198340432774	1054
33456271	1014878	0.6610018725898664	1054
69614247	903762	0.652380311561152	1054
3921282	945329	0.6289452154575133	1054
68627303	985404	0.6238167432305926	1054
86547763	1109734	0.6209117074908174	1052
65007713	778781	0.6126767041492513	1054
71708675	1007491	0.5979642931280053	1054
77960617	189832	0.5923319180822191	1054
17489120	585885	0.5702852862005768	1054
90543131	838709	0.5590077074868247	1054
67589109	702957	0.5225899878218704	1054
14491576	402444	0.5157723002203798	1054
78867449	549427	0.5127660202703808	1054
63610804	1010861	0.5107467874657484	1054
85205712	303459	0.5027603415762067	1054
4250024	564159	0.4938940763008734	1054
75092622	397277	0.4937816853809648	1054
5563439	483909	0.4895011879119538	1054
16133496	814449	0.45192625746384657	1054
78278329	636400	0.45028977412986576	1054
4189327	308122	0.44497858862670536	1054
61210275	589482	0.4372803258187131	1054
66676859	651672	0.42331421645040035	1054
4701067	896292	0.4196687869712537	1054
1118030	543571	0.4094753883269967	1054
9472834	1110642	0.40686994225049944	1053
63264439	888713	0.4065652889422989	1054
69794865	538160	0.40647663594439154	1054
93970958	356462	0.39697427742802655	1054
14229391	1093281	0.39426457448473945	1054
8629910	1036834	0.39370413790012615	1054
81306288	552508	0.39017129753067625	1054
86451941	969992	0.3897412812754461	1054
75943787	264185	0.37909275357591815	1054
72581182	400664	0.3770063226718046	1054
87722879	1066329	0.3763461094464293	1054
63514338	1118316	0.3726124440356385	1050
1702066	582675	0.3720516645174886	1054
63992344	831668	0.3670756410541638	1054
72325972	513322	0.35947684825977827	1054
75265469	618831	0.355461241339725	1054
18018384	987070	0.3541225552664956	1054
75997659	490457	0.351439732793709	1054
55629131	655429	0.35078788080060574	1054
13385260	998914	0.35062546813387874	1054
76372266	787515	0.34645402487383287	1054
81956284	1080815	0.3445338506398604	1054
14954817	451996	0.34421222144713204	1054
14201087	749450	0.3427118090453064	1054
70312948	837009	0.3421821538439673	1054
3302777	911172	0.33935576948625407	1054
67204737	433859	0.3387612924706128	1054
25671361	404127	0.3293766855183442	1054
10188258	456774	0.32761429443228485	1054
61258057	1066561	0.32678380828938525	1054
8750746	520580	0.3258198949767423	1054
46510391	807710	0.32467649605714505	1054
73357729	349406	0.32313560261530455	1054
74677465	675352	0.3223331935002388	1054
8198424	722052	0.31878170368986164	1054
69841660	535826	0.3183876199594464	1054
51245031	325675	0.3135094865742401	1054
68670357	718751	0.3102422838570853	1054
74042578	976834	0.31008502016939143	1054
16435287	389024	0.30902880619161993	1054
92373474	1136003	0.30812172871603416	1017
74911301	893250	0.30717744688371235	1054
2287585	520649	0.3012823611169986	1054
64104781	512263	0.30058083374946476	1054
68780748	648800	0.2999245648367163	1054
11130036	498914	0.2975713548326202	1054
85017611	291945	0.2968887690872938	1054
78074950	992414	0.2933556367937962	1054
66541060	819249	0.29334228531987977	1054
16053451	286333	0.2914632461140624	1054
13176911	838991	0.29094331420581954	1054
60850009	508998	0.2890651079098334	1054
861187	283562	0.2882214064440538	1054
78907413	406079	0.28607479537172315	1054
74162962	1068363	0.2832823577471679	1054
66293468	570893	0.2827105047862194	1054
90282069	251634	0.28262377944712247	1054
88304149	362867	0.2825620054370167	1054
83930047	302198	0.2809505826154879	1054
5600091	620821	0.2781732112793152	1054
65443904	643575	0.2771904322123477	1054
13070544	686254	0.27632343061844145	1054
84768993	560975	0.2758226020468517	1054
58484831	393194	0.27201037790200777	1054
16744376	493424	0.2718884665812284	1054
87623241	696528	0.27169047132028756	1054
94914090	897456	0.2706358556371292	1054
90727095	1026911	0.2704996338793319	1054
2995148	575480	0.2704972934639513	1054
6344074	970075	0.26855365819371474	1054
4343780	608016	0.2665644975746115	1054
62048229	650543	0.263640839856775	1054
61452968	809809	0.26321580333142164	1054
12123622	972644	0.2631345401831593	1054
5775938	1126614	0.2621833371169062	1045
4096104	442142	0.26210257499329215	1054
85324704	900199	0.2603138316774185	1054
69920682	918407	0.2582977813872044	1054
67751351	648300	0.2574891048449316	1054
6271760	1135269	0.25468168218662735	1003
63423553	595948	0.25464189140094834	1054
3369711	502096	0.25411377152585585	1054
87045823	780741	0.25409447054133283	1054
52503871	670526	0.2518353700934622	1054
71179576	496659	0.24764839178911674	1054
11102580	378873	0.2476017084761086	1054
74591612	597884	0.24725050494128	1054
63117347	1012705	0.24712365230138625	1054
85884367	1032373	0.24666578000131467	1054
2159153	568199	0.2463772150489574	1054
71560165	881926	0.24596152059450896	1054
43865151	324221	0.24504649212884766	1054
17410069	458523	0.2450449698745273	1054
62329923	639293	0.2442052899627306	1054
89160781	464593	0.24416713484036898	1054
72541825	825887	0.24360017950759585	1054
16201983	956838	0.24303920627746653	1054
78852759	764307	0.2414600492497248	1054
66985565	621882	0.24114804882848326	1054
91108501	447993	0.24099772093914856	1054
89813133	1097854	0.24013632944266705	1054
72461447	1011630	0.2399668720605173	1054
63720689	604735	0.23989018709920118	1054
72277601	488390	0.23950774727241553	1054
83141690	805853	0.23945316354255475	1054
71614478	739870	0.23778694100080427	1054
73854012	417260	0.23772661881186585	1054
2557026	639059	0.23704834041921796	1054
73388496	815283	0.23481146063197403	1054
12491045	781115	0.23427452717288724	1054
64422296	696980	0.23207233566472177	1054
84039329	480307	0.2318152940486791	1054
77052505	543875	0.22885826370679857	1054
74457421	556571	0.22851851597393444	1054
74066212	673053	0.2272115713261666	1054
74476228	813533	0.22674926071133683	1054
11173693	1065736	0.22649342234700043	1054
10343177	1058879	0.22611466069850908	1054
9702723	989945	0.22590053557584425	1054
12547602	871970	0.22513274751799114	1054
62264016	616919	0.22471584430155903	1054
8883995	579260	0.22463656746992242	1054
6132153	451557	0.22386454485185023	1054
66931072	544820	0.22359435822129253	1054
6526074	465816	0.22346827695440943	1054
69946823	914940	0.2226932083381474	1054
2609199	450640	0.22101950700426803	1054
66241687	868027	0.22044529949053407	1054
1869815	554631	0.22034911211456798	1054
70962170	954047	0.22018821356013799	1054
39955981	880953	0.21947986234683425	1054
68788868	495077	0.21922026516151077	1054
73363564	786754	0.2186446382047723	1054
9883417	421989	0.21823083870987176	1054
75851194	1022549	0.2177396183148708	1054
69237717	888101	0.2172900455086752	1054
77329649	841131	0.2172198723165134	1054
5479603	1001714	0.2159996255270909	1054
2030307	535837	0.21570731315516198	1054
77682184	348818	0.2155753943305855	1054
73246025	998322	0.21543124100307828	1054
81246014	402538	0.21439783365977122	1054
78361807	407912	0.21295407577009254	1054
86483013	309216	0.2124402095834526	1054
85089986	634757	0.21234578562988488	1054
98400694	673648	0.21177039142461984	1054
77705560	887710	0.21098828109467735	1054
67619943	386699	0.21046534132156167	1054
13148373	555642	0.21037262515091054	1054
11016852	691546	0.20987960527222813	1054
65018773	719060	0.20870793993081918	1054
73205697	913255	0.20865717415402643	1054
17963617	871383	0.20853437962423074	1054
71876015	630937	0.20842623130392204	1054
62188697	551224	0.20793403428743584	1054
79177655	771768	0.2075759405785773	1054
68344627	363104	0.2067951896234388	1054
4841406	895611	0.20533379686699957	1054
99677218	616350	0.2049661070780751	1054
88991703	660689	0.2047554347776434	1054
17460500	560572	0.2046957495323241	1054
12150665	979376	0.204409280170546	1054
