Total times: 1142537
Item	Time empty	Estimated value	Time
4954825	646872	0.8622034266491084	1054
2323940	625434	0.8538738206171127	1054
94636848	784726	0.8481957853149344	1054
10188258	643867	0.8379448126560083	1054
75710556	919442	0.8145728519908108	1054
78436103	999204	0.8080959634461921	1054
93868746	709839	0.8080561786322662	1054
1674626	858517	0.799230705949494	1054
22299021	1025960	0.7839390833073179	1054
66293468	759444	0.7744401258095805	1054
84039329	652453	0.758295979441364	1054
16302319	1123731	0.7508982981613437	1042
69562013	603754	0.7441275539851055	1054
26341801	909084	0.73192923868154	1054
9757537	970463	0.7283009034842856	1054
9214703	922525	0.7268370390187607	1054
64330503	999726	0.6881991010980251	1054
12119896	940532	0.6737204212509768	1054
79032380	1109945	0.64779093515468	1052
91415418	1141792	0.6363681283494378	944
65802069	1125553	0.5989513727013449	1045
83294786	1035516	0.5980409248835192	1054
66931072	649655	0.5886268699574403	1054
861187	469992	0.5577147739910742	1054
88304149	533737	0.548174809972494	1054
86483013	488000	0.5196537785513352	1054
72581182	647300	0.512359863730619	1054
78361807	536066	0.5029148656491964	1054
70608592	904680	0.4953050115443132	1054
46219471	767798	0.4929907010179159	1054
86262325	897961	0.4753738756384835	1054
4405502	1036135	0.46912597166884	1054
1118030	746724	0.46600797666294913	1054
4119245	864001	0.4548638427632125	1054
72277601	618963	0.4524420210658018	1054
68559485	1069182	0.4491556550411741	1054
17217573	782224	0.4430540094286809	1054
71152082	1008593	0.43620742903742826	1054
73203277	939592	0.42694601761122064	1054
70625832	824730	0.42144960994895203	1054
8818789	1019945	0.42107574822605576	1054
91217118	956736	0.41869748550059266	1054
14931763	702362	0.41821968832191436	1054
89056103	777613	0.4148234519596413	1054
85017611	413378	0.4132665644199368	1054
31102171	495658	0.40896196715969596	1054
77649073	1113163	0.4046472309971098	1050
74710553	1037794	0.40413764381580985	1054
2957577	1087902	0.39963532850374	1054
75092622	620012	0.3986947996053499	1054
16329637	1074703	0.39022073461565493	1054
37260501	1113838	0.3885496870354957	1046
78695208	753322	0.3865330810755645	1054
78907413	625122	0.38641340460591056	1054
72756274	1085962	0.37872398498651777	1054
64813415	724070	0.3711918319108959	1054
10200421	908468	0.3623654740006657	1054
71418484	659173	0.3585479458461761	1054
13679251	978312	0.35766472135178434	1054
75735062	856080	0.35697021000765955	1054
7747321	835631	0.3565148498915377	1054
75125497	1031449	0.3530881082471734	1054
3302777	1028227	0.35156967399428907	1054
74677465	851138	0.3484415022400375	1054
4432859	1036078	0.34597962558418166	1054
51245031	464107	0.3441828279487737	1054
17099088	1123008	0.343399826850101	1046
65018773	887760	0.34324417515976696	1054
8206833	996065	0.3420278829128779	1054
65443904	822465	0.3388323275804828	1054
71578197	476880	0.33359273046777194	1054
74770835	829605	0.33205861351328886	1054
71430746	706354	0.33009575840069455	1054
69180862	677080	0.32967753505415864	1054
15792789	821191	0.3295160786692445	1054
77960617	351460	0.3281115125435962	1054
77279367	900461	0.3265484046377443	1054
63720689	709330	0.324534446616922	1054
85205712	511603	0.3207003628274769	1054
74457421	789435	0.319729952577945	1054
79775986	847949	0.31918588703752	1054
90146311	872844	0.3185977019608672	1054
85324704	1011962	0.3177319632399827	1054
18161074	1099140	0.3155015986429844	1053
7584125	1125375	0.31402286008527475	1048
16347072	868590	0.31359349130758624	1054
71179576	638442	0.3128517750606819	1054
94436884	1068426	0.312246021935972	1054
67204737	615851	0.31204409500090646	1054
81246014	626337	0.3119824311787235	1054
65431390	653035	0.30771302256090205	1054
65007713	883402	0.3047740351670102	1054
62264016	775645	0.30475712089018814	1054
91108501	555765	0.3046901329088326	1054
72325972	734758	0.30144955460646666	1054
66676859	765623	0.2997097059796264	1054
73561246	1095315	0.2979870151275603	1054
91011063	932326	0.2972827496057039	1054
66107883	949534	0.2950839899185745	1054
68344627	573296	0.29497085098865855	1054
14491576	561659	0.29395161720023844	1054
94914090	1001554	0.2938067232076103	1054
2609199	675202	0.2921115962539744	1054
95955228	1081798	0.2909814089653906	1054
72135139	1071227	0.2899794327608405	1054
17165097	976642	0.2894131294592008	1054
5667620	631833	0.28939874090624945	1054
16397274	990074	0.2891007331186649	1054
16053451	462605	0.28655850899463836	1054
93970958	569914	0.2851137014153641	1054
11102580	564095	0.2833028359575259	1054
71173042	1123632	0.28063794791964625	1044
60797755	458731	0.28031057690468625	1054
79318731	754165	0.28007368864051446	1054
78160898	980754	0.2775438499853819	1054
4343780	794292	0.2755719336902559	1054
88026203	1125517	0.27432143958011207	1046
15661190	971044	0.27420896315339405	1054
6344074	994554	0.2726551308894635	1054
20912871	882865	0.2716950520682886	1054
26388241	1130641	0.27089687058381245	1045
1243656	1093089	0.27058307651255337	1053
8883995	780183	0.27008931749676	1054
2405183	605045	0.2697568614714562	1054
15148124	888476	0.26924150442902306	1054
15597432	703337	0.2677171876234251	1054
45265831	1124988	0.2645185867744349	1040
25671361	580507	0.2642919200578505	1054
70077941	899654	0.2637188816759791	1054
87226779	861099	0.2621704099709707	1054
89160781	626490	0.2619357976366535	1054
11051209	779499	0.2600638641196231	1054
72033090	1064296	0.2577265750544533	1054
4313595	722765	0.2569577250002733	1054
88365603	971133	0.2566705216721582	1054
82925846	926288	0.25660359916120207	1054
14147479	1098887	0.25472058535931297	1054
22549011	904722	0.2540848577314011	1054
46725701	877054	0.2539239612288066	1054
77603443	975438	0.251733491767804	1054
70761560	1070383	0.25061769777709736	1054
60850009	615063	0.24978013131873972	1054
67653031	781888	0.24773678728305862	1054
13259634	733481	0.2472044231491062	1054
16878842	670296	0.2466212496764778	1054
5698694	839122	0.24626189763935477	1054
8979556	647876	0.2445991595163052	1054
69992142	374994	0.24374315937020385	1054
1926589	1082365	0.24331201787929355	1054
70823508	791777	0.24320364160336927	1054
82138970	897026	0.2424541141260128	1054
18018384	1065915	0.24210038034756	1054
56640741	1142528	0.24101284527926298	908
41112091	1058591	0.24013778590531068	1054
73390801	1135089	0.23962984335565451	1047
72070691	892252	0.23873770740198433	1054
86514651	1087689	0.23807811731243905	1054
73638064	1024463	0.23767996226242546	1054
77674537	743177	0.2372224304124092	1054
67589109	851413	0.23648134046814	1054
65668966	872612	0.23632040542085597	1054
69946823	1004232	0.23612679816886942	1054
16960561	833249	0.2332646956819137	1054
9779570	1071570	0.23319380129722506	1054
76551964	887530	0.23290828731020896	1054
73357729	516543	0.23159412563925313	1054
11847569	771054	0.22939068394549614	1054
55678111	1106681	0.2285521257334087	1054
57719221	843223	0.2281052113797841	1054
2159153	730748	0.2275917972753542	1054
91940648	860352	0.22509846811658576	1054
5147891	1102169	0.22435228560297812	1054
62343841	768163	0.22423835749988863	1054
37563911	1081569	0.2237119032309708	1054
7444285	1059766	0.22339529149819723	1054
56047801	905480	0.22192523849047616	1054
65850390	864764	0.22136716352198893	1054
74066212	841337	0.22062861231796543	1054
75666691	1124999	0.2191574200324939	1051
87623241	819792	0.2182031610667022	1054
3369711	680397	0.21752922883170314	1054
65117707	1122995	0.21679446675770936	1049
75066331	446306	0.2167894150917287	1054
74591612	807067	0.216520251255374	1054
90282069	446087	0.216404925073285	1054
72718191	672829	0.21602523467080864	1054
73399731	868143	0.21505656781822147	1054
68780748	771947	0.21423615530753862	1054
58484831	613215	0.2142346275237031	1054
83628768	1119112	0.21395929383498238	1050
14201087	885338	0.21300971187971213	1054
9159424	1082128	0.2125422540535349	1054
43865151	485200	0.2118417568898915	1054
17410069	684595	0.21121551451603682	1054
78780122	922421	0.21010048098045014	1054
89071893	687124	0.20978746659431252	1054
6862149	728314	0.2094837620428583	1054
17587494	832307	0.20705965641415883	1054
8422045	1089114	0.2061220183518485	1052
4250024	743957	0.20611994904429834	1054
8750746	713437	0.20543363782467394	1054
8570739	958686	0.2053129896050111	1054
71350313	836458	0.2051928753352221	1054
16169324	881697	0.20452110452509437	1054
75997659	711358	0.20425187817759455	1054
11130036	700891	0.20341606116214125	1054
67751351	790542	0.2030669610666812	1054
71647994	1047497	0.2030666937099039	1054
17605922	796221	0.2030184411453775	1054
74476228	881708	0.20126151969928013	1054
83930047	441696	0.20082790309750953	1054
90984519	782447	0.19996768352328081	1054
56050751	1103288	0.1985428692030223	1053
4189327	552752	0.19843625113720886	1054
16435287	577311	0.19838863829820358	1054
